Criação das árvores ordenadas:
n_persons	index	time        
1048576  	0    	1.269128e+00
1048576  	1    	1.381868e+00
1048576  	2    	1.305867e+00
1048576  	3    	1.087485e+00

Procura de nós nas árvores:
n_persons	index	time        
1048576  	0    	1.258707e+00
1048576  	1    	1.401387e+00
1048576  	2    	1.283615e+00
1048576  	3    	1.182641e+00

Maior profundidade das árvores:
n_persons	index	time        	depth
1048576  	0    	6.578720e-02	52   
1048576  	1    	7.518700e-02	48   
1048576  	2    	7.257280e-02	46   
1048576  	3    	7.097020e-02	49   

Número de nós em cada nível:
n_persons	index	time        	lvl0  	lvl1  	lvl2  	lvl3  	lvl4  	lvl5  	lvl6  	lvl7  	lvl8  	lvl9  	lvl10 	lvl11 	lvl12 	lvl13 	lvl14 	lvl15 	lvl16 	lvl17 	lvl18 	lvl19 	lvl20 	lvl21 	lvl22 	lvl23 	lvl24 	lvl25 	lvl26 	lvl27 	lvl28 	lvl29 	lvl30 	lvl31 	lvl32 	lvl33 	lvl34 	lvl35 	lvl36 	lvl37 	lvl38 	lvl39 	lvl40 	lvl41 	lvl42 	lvl43 	lvl44 	lvl45 	lvl46 	lvl47 	lvl48 	lvl49 	lvl50 	lvl51 	lvl52 
1048576  	0    	5.949190e-02	1     	2     	4     	8     	16    	32    	63    	122   	241   	452   	832   	1492  	2534  	4186  	6644  	10042 	14227 	19546 	25724 	32335 	39276 	46271 	52950 	58914 	63917 	67917 	70325 	70849 	69381 	65775 	60615 	54441 	47632 	40396 	32850 	25897 	19786 	14459 	10344 	6915  	4485  	2788  	1724  	952   	583   	326   	168   	73    	34    	17    	9     	3     	1     
1048576  	1    	5.845610e-02	1     	2     	4     	8     	16    	32    	64    	127   	252   	495   	939   	1742  	3097  	5264  	8576  	13131 	19163 	26505 	34754 	43732 	53462 	63033 	71991 	78628 	82703 	83526 	81073 	75402 	67135 	57466 	47348 	37487 	28731 	21132 	14830 	10076 	6583  	4120  	2489  	1474  	867   	519   	291   	159   	85    	39    	14    	6     	3     	nan   	nan   	nan   	nan   
1048576  	2    	6.480660e-02	1     	2     	4     	8     	16    	32    	64    	127   	248   	475   	910   	1708  	3076  	5342  	8924  	14254 	21392 	30708 	41630 	53161 	64718 	74566 	81887 	86009 	86330 	82892 	76413 	67516 	57620 	48024 	38840 	30442 	23073 	16695 	11601 	7761  	5061  	3180  	1890  	1061  	516   	252   	106   	30    	5     	4     	2     	nan   	nan   	nan   	nan   	nan   	nan   
1048576  	3    	6.535600e-02	1     	2     	4     	8     	16    	32    	64    	128   	254   	489   	924   	1709  	3054  	5256  	8705  	13714 	20443 	29051 	39234 	50548 	62043 	71889 	79890 	85005 	86084 	83474 	78109 	70439 	61222 	50906 	40872 	31630 	23689 	17117 	11913 	8002  	5269  	3251  	1884  	1112  	577   	289   	146   	56    	36    	17    	9     	7     	2     	1     	nan   	nan   	nan   

Lista de pessoas (índice 0, filtro "^John "):
#       	name (0)                       	zip_code (1)                                                   	telephone number (2)	social security number (3)
1       	John Abbott                    	22192 Woodbridge (Prince William county)                       	6740 404 344     	474-34-3985            
2       	John Abbott                    	27406 Greensboro (Guilford county)                             	4492 447 498     	087-85-0840            
3       	John Abbott                    	30135 Douglasville (Douglas county)                            	3709 072 339     	669-77-5297            
4       	John Abbott                    	30281 Stockbridge (Henry county)                               	3026 505 909     	756-47-7939            
5       	John Abbott                    	7087 Union City (Hudson county)                                	5226 183 175     	903-15-1075            
6       	John Abbott                    	75034 Frisco (Collin county)                                   	6290 839 375     	618-08-8069            
7       	John Abbott                    	91706 Baldwin Park (Los Angeles county)                        	8190 961 788     	461-74-1971            
8       	John Abbott                    	91770 Rosemead (Los Angeles county)                            	8965 024 874     	620-96-9086            
9       	John Abbott                    	92563 Murrieta (Riverside county)                              	7013 117 519     	849-47-5773            
10      	John Abbott                    	98052 Redmond (King county)                                    	5339 868 545     	597-10-9426            
11      	John Acevedo                   	20147 Ashburn (Loudoun county)                                 	4195 244 409     	225-40-8447            
12      	John Acevedo                   	77084 Houston (Harris county)                                  	1933 327 832     	697-55-2247            
13      	John Acevedo                   	92154 San Diego (San Diego county)                             	4639 666 544     	761-99-3239            
14      	John Acevedo                   	92509 Riverside (Riverside county)                             	9968 725 139     	986-55-8423            
15      	John Acosta                    	10453 Bronx (Bronx county)                                     	2471 942 385     	434-60-0600            
16      	John Acosta                    	11229 Brooklyn (Kings county)                                  	1458 748 767     	502-25-7796            
17      	John Acosta                    	11717 Brentwood (Suffolk county)                               	6181 558 298     	450-86-1212            
18      	John Acosta                    	20906 Silver Spring (Montgomery county)                        	8032 557 177     	227-92-2561            
19      	John Acosta                    	21122 Pasadena (Anne Arundel county)                           	8162 214 348     	171-34-3272            
20      	John Acosta                    	30188 Woodstock (Cherokee county)                              	6336 798 957     	095-10-6087            
21      	John Acosta                    	42101 Bowling Green (Warren county)                            	2032 670 119     	119-03-5665            
22      	John Acosta                    	77095 Houston (Harris county)                                  	8890 681 448     	166-80-6686            
23      	John Acosta                    	77433 Cypress (Harris county)                                  	8944 923 342     	725-54-1520            
24      	John Acosta                    	78130 New Braunfels (Comal county)                             	5502 791 825     	059-76-5169            
25      	John Acosta                    	79924 El Paso (El Paso county)                                 	1499 545 875     	077-66-0782            
26      	John Acosta                    	85033 Phoenix (Maricopa county)                                	8125 685 248     	973-73-3386            
27      	John Acosta                    	85301 Glendale (Maricopa county)                               	5705 796 988     	877-70-5618            
28      	John Acosta                    	8701 Lakewood (Ocean county)                                   	7513 115 233     	968-28-2015            
29      	John Acosta                    	90022 Los Angeles (Los Angeles county)                         	4937 090 263     	020-53-1160            
30      	John Acosta                    	91762 Ontario (San Bernardino county)                          	8930 775 020     	505-83-1045            
31      	John Acosta                    	92201 Indio (Riverside county)                                 	5489 667 234     	428-45-7213            
32      	John Acosta                    	93306 Bakersfield (Kern county)                                	7212 804 123     	817-70-4838            
33      	John Adams                     	10002 New York City (New York county)                          	6843 967 314     	129-92-9372            
34      	John Adams                     	10314 Staten Island (Richmond county)                          	1454 459 126     	887-48-9422            
35      	John Adams                     	10456 Bronx (Bronx county)                                     	6364 687 498     	691-39-4929            
