Criação das árvores ordenadas:
n_persons	index	time        
131072   	0    	1.524943e-01
131072   	1    	1.847001e-01
131072   	2    	2.013229e-01
131072   	3    	1.610040e-01

Procura de nós nas árvores:
n_persons	index	time        
131072   	0    	1.819032e-01
131072   	1    	1.981311e-01
131072   	2    	1.412904e-01
131072   	3    	1.432064e-01

Maior profundidade das árvores:
n_persons	index	time        	depth
131072   	0    	7.385700e-03	45   
131072   	1    	8.441900e-03	42   
131072   	2    	7.884700e-03	38   
131072   	3    	1.050710e-02	38   

Número de nós em cada nível:
n_persons	index	time        	lvl0  	lvl1  	lvl2  	lvl3  	lvl4  	lvl5  	lvl6  	lvl7  	lvl8  	lvl9  	lvl10 	lvl11 	lvl12 	lvl13 	lvl14 	lvl15 	lvl16 	lvl17 	lvl18 	lvl19 	lvl20 	lvl21 	lvl22 	lvl23 	lvl24 	lvl25 	lvl26 	lvl27 	lvl28 	lvl29 	lvl30 	lvl31 	lvl32 	lvl33 	lvl34 	lvl35 	lvl36 	lvl37 	lvl38 	lvl39 	lvl40 	lvl41 	lvl42 	lvl43 	lvl44 	lvl45 
131072   	0    	1.288850e-02	1     	2     	4     	8     	16    	31    	61    	116   	218   	379   	630   	1033  	1567  	2294  	3126  	4070  	5080  	6004  	6902  	7820  	8541  	9081  	9329  	9351  	9118  	8579  	7837  	6881  	5870  	4879  	3774  	2845  	2034  	1415  	892   	536   	338   	215   	102   	45    	25    	11    	8     	2     	1     	1     
131072   	1    	8.627700e-03	1     	2     	4     	8     	16    	32    	64    	124   	242   	447   	802   	1343  	2131  	3042  	4212  	5506  	6872  	8296  	9576  	10692 	11335 	11477 	10974 	9967  	8710  	7158  	5642  	4278  	3033  	1976  	1275  	787   	473   	271   	143   	71    	40    	23    	13    	6     	5     	2     	1     	nan   	nan   	nan   
131072   	2    	1.707520e-02	1     	2     	4     	8     	16    	32    	61    	119   	230   	435   	783   	1364  	2248  	3471  	5046  	6832  	8743  	10282 	11314 	11904 	11762 	11148 	10065 	8657  	7079  	5551  	4210  	3206  	2381  	1620  	1040  	682   	411   	192   	104   	44    	14    	8     	3     	nan   	nan   	nan   	nan   	nan   	nan   	nan   
131072   	3    	1.854300e-02	1     	2     	4     	8     	16    	32    	64    	123   	243   	442   	789   	1324  	2138  	3251  	4670  	6386  	8137  	9784  	11000 	11696 	11805 	11315 	10413 	9074  	7593  	6192  	4765  	3407  	2370  	1577  	1023  	642   	391   	216   	97    	47    	20    	12    	3     	nan   	nan   	nan   	nan   	nan   	nan   	nan   

Lista de pessoas (índice 0, filtro "John "):
#       	name (0)                       	zip_code (1)                                                   	telephone number (2)	social security number (3)
1       	John Abbott                    	98052 Redmond (King county)                                    	5339 868 545     	597-10-9426            
2       	John Acosta                    	10453 Bronx (Bronx county)                                     	2471 942 385     	434-60-0600            
3       	John Acosta                    	42101 Bowling Green (Warren county)                            	2032 670 119     	119-03-5665            
4       	John Adams                     	11207 Brooklyn (Kings county)                                  	7459 635 865     	435-18-4995            
5       	John Adams                     	7055 Passaic (Passaic county)                                  	6792 279 351     	610-06-8409            
6       	John Adams                     	77036 Houston (Harris county)                                  	4289 370 201     	685-56-6033            
7       	John Adams                     	78666 San Marcos (Hays county)                                 	6698 813 434     	543-99-0443            
8       	John Adams                     	89108 Las Vegas (Clark county)                                 	2355 148 466     	367-49-8887            
9       	John Adams                     	91911 Chula Vista (San Diego county)                           	2960 060 814     	584-50-6052            
10      	John Adams                     	93906 Salinas (Monterey county)                                	1439 766 560     	511-33-3746            
11      	John Adams                     	949 Toa Baja (Toa Baja county)                                 	9375 265 560     	425-14-3321            
12      	John Adkins                    	11355 Flushing (Queens county)                                 	4139 727 808     	929-02-5098            
13      	John Aguilar                   	11434 Jamaica (Queens county)                                  	7111 433 621     	583-63-7402            
14      	John Aguilar                   	77095 Houston (Harris county)                                  	6056 859 211     	176-24-5048            
15      	John Aguilar                   	92114 San Diego (San Diego county)                             	6919 418 635     	645-41-1368            
16      	John Aguilar                   	98682 Vancouver (Clark county)                                 	2448 427 019     	710-88-5763            
17      	John Aguirre                   	92336 Fontana (San Bernardino county)                          	1854 256 977     	078-24-1999            
18      	John Ahmed                     	95014 Cupertino (Santa Clara county)                           	9154 297 609     	990-38-4274            
19      	John Alexander                 	95127 San Jose (Santa Clara county)                            	5608 559 723     	988-44-1838            
20      	John Alfaro                    	92627 Costa Mesa (Orange county)                               	1978 481 046     	773-91-7709            
21      	John Ali                       	30127 Powder Springs (Cobb county)                             	4813 850 860     	652-21-2925            
22      	John Ali                       	92503 Riverside (Riverside county)                             	9359 822 197     	953-75-1303            
23      	John Allen                     	11432 Jamaica (Queens county)                                  	3563 937 707     	829-91-1305            
24      	John Allen                     	28215 Charlotte (Mecklenburg county)                           	4971 259 176     	248-80-7339            
25      	John Allen                     	44060 Mentor (Lake county)                                     	4694 586 054     	537-93-2618            
26      	John Allen                     	66061 Olathe (Johnson county)                                  	8400 828 419     	866-32-1760            
27      	John Allen                     	90706 Bellflower (Los Angeles county)                          	8873 516 385     	944-12-1370            
28      	John Alvarez                   	33458 Jupiter (Palm Beach county)                              	1643 837 876     	683-82-3528            
29      	John Alvarez                   	60641 Chicago (Cook county)                                    	2430 245 632     	755-50-5339            
30      	John Alvarez                   	90003 Los Angeles (Los Angeles county)                         	2755 711 494     	501-98-9581            
31      	John Andersen                  	2360 Plymouth (Plymouth county)                                	4481 332 910     	832-67-5570            
32      	John Anderson                  	10468 Bronx (Bronx county)                                     	9830 273 116     	674-86-2143            
33      	John Anderson                  	10977 Spring Valley (Rockland county)                          	1334 686 623     	683-30-8120            
34      	John Anderson                  	10977 Spring Valley (Rockland county)                          	3126 802 427     	494-72-2529            
35      	John Anderson                  	11223 Brooklyn (Kings county)                                  	4098 639 332     	291-52-6383            
36      	John Anderson                  	11434 Jamaica (Queens county)                                  	1593 202 741     	304-83-6380            
