Criação das árvores ordenadas:
n_persons	index	time        
65536    	0    	7.029100e-02
65536    	1    	8.740140e-02
65536    	2    	7.964970e-02
65536    	3    	7.088050e-02

Procura de nós nas árvores:
n_persons	index	time        
65536    	0    	6.509650e-02
65536    	1    	1.009216e-01
65536    	2    	8.997970e-02
65536    	3    	5.475210e-02

Maior profundidade das árvores:
n_persons	index	time        	depth
65536    	0    	3.868900e-03	40   
65536    	1    	4.124100e-03	39   
65536    	2    	4.231300e-03	36   
65536    	3    	4.162800e-03	37   

Número de nós em cada nível:
n_persons	index	time        	lvl0  	lvl1  	lvl2  	lvl3  	lvl4  	lvl5  	lvl6  	lvl7  	lvl8  	lvl9  	lvl10 	lvl11 	lvl12 	lvl13 	lvl14 	lvl15 	lvl16 	lvl17 	lvl18 	lvl19 	lvl20 	lvl21 	lvl22 	lvl23 	lvl24 	lvl25 	lvl26 	lvl27 	lvl28 	lvl29 	lvl30 	lvl31 	lvl32 	lvl33 	lvl34 	lvl35 	lvl36 	lvl37 	lvl38 	lvl39 	lvl40 
65536    	0    	3.355200e-03	1     	2     	4     	8     	16    	31    	61    	110   	204   	331   	544   	850   	1248  	1752  	2258  	2736  	3192  	3651  	4082  	4433  	4656  	4803  	4775  	4556  	4191  	3772  	3342  	2800  	2172  	1667  	1193  	829   	519   	328   	201   	107   	59    	33    	13    	5     	1     
65536    	1    	3.195300e-03	1     	2     	4     	8     	16    	32    	63    	124   	233   	423   	736   	1146  	1663  	2272  	2951  	3728  	4464  	5125  	5681  	5925  	5886  	5522  	4958  	4075  	3287  	2469  	1783  	1217  	763   	448   	246   	130   	73    	41    	20    	11    	5     	3     	1     	1     	nan   
65536    	2    	3.956300e-03	1     	2     	4     	8     	16    	31    	61    	117   	226   	417   	722   	1226  	1877  	2763  	3737  	4765  	5569  	6044  	6230  	6059  	5585  	4889  	4085  	3193  	2427  	1831  	1341  	920   	604   	380   	225   	108   	46    	15    	9     	2     	1     	nan   	nan   	nan   	nan   
65536    	3    	1.232300e-02	1     	2     	4     	8     	16    	32    	64    	122   	237   	416   	714   	1151  	1779  	2572  	3523  	4490  	5264  	5910  	6168  	6124  	5714  	5107  	4246  	3507  	2697  	1977  	1364  	925   	595   	370   	220   	118   	58    	20    	11    	6     	3     	1     	nan   	nan   	nan   

Lista de pessoas (índice 0, filtro "John "):
#       	name (0)                       	zip_code (1)                                                   	telephone number (2)	social security number (3)
1       	John Adams                     	11207 Brooklyn (Kings county)                                  	7459 635 865     	435-18-4995            
2       	John Adams                     	7055 Passaic (Passaic county)                                  	6792 279 351     	610-06-8409            
3       	John Adams                     	78666 San Marcos (Hays county)                                 	6698 813 434     	543-99-0443            
4       	John Adams                     	89108 Las Vegas (Clark county)                                 	2355 148 466     	367-49-8887            
5       	John Adams                     	91911 Chula Vista (San Diego county)                           	2960 060 814     	584-50-6052            
6       	John Adams                     	949 Toa Baja (Toa Baja county)                                 	9375 265 560     	425-14-3321            
7       	John Adkins                    	11355 Flushing (Queens county)                                 	4139 727 808     	929-02-5098            
8       	John Aguilar                   	92114 San Diego (San Diego county)                             	6919 418 635     	645-41-1368            
9       	John Aguilar                   	98682 Vancouver (Clark county)                                 	2448 427 019     	710-88-5763            
10      	John Ali                       	30127 Powder Springs (Cobb county)                             	4813 850 860     	652-21-2925            
11      	John Ali                       	92503 Riverside (Riverside county)                             	9359 822 197     	953-75-1303            
12      	John Allen                     	11432 Jamaica (Queens county)                                  	3563 937 707     	829-91-1305            
13      	John Allen                     	28215 Charlotte (Mecklenburg county)                           	4971 259 176     	248-80-7339            
14      	John Allen                     	66061 Olathe (Johnson county)                                  	8400 828 419     	866-32-1760            
15      	John Alvarez                   	90003 Los Angeles (Los Angeles county)                         	2755 711 494     	501-98-9581            
16      	John Anderson                  	10977 Spring Valley (Rockland county)                          	1334 686 623     	683-30-8120            
17      	John Anderson                  	30188 Woodstock (Cherokee county)                              	4764 191 162     	329-04-2303            
18      	John Anderson                  	37075 Hendersonville (Sumner county)                           	3074 441 485     	258-19-7175            
19      	John Anderson                  	60608 Chicago (Cook county)                                    	6727 842 029     	487-66-3266            
20      	John Andrade                   	11219 Brooklyn (Kings county)                                  	3740 613 964     	291-73-5993            
21      	John Andrade                   	30331 Atlanta (Fulton county)                                  	9019 909 424     	811-26-8462            
22      	John Andrade                   	77095 Houston (Harris county)                                  	2344 150 622     	651-54-3576            
23      	John Andrade                   	92407 San Bernardino (San Bernardino county)                   	7647 617 263     	013-33-6223            
24      	John Andrews                   	77459 Missouri City (Fort Bend county)                         	6149 750 845     	001-42-6828            
25      	John Armstrong                 	92201 Indio (Riverside county)                                 	3804 482 544     	171-33-8858            
26      	John Arnold                    	60620 Chicago (Cook county)                                    	5485 483 998     	295-04-7149            
27      	John Arnold                    	75217 Dallas (Dallas county)                                   	5959 975 800     	282-15-3643            
28      	John Ashley                    	60647 Chicago (Cook county)                                    	2932 898 580     	590-13-1126            
29      	John Atkins                    	33012 Hialeah (Miami-Dade county)                              	7006 797 641     	740-24-9491            
30      	John Atkins                    	60608 Chicago (Cook county)                                    	7996 589 640     	628-34-9739            
31      	John Atkinson                  	91702 Azusa (Los Angeles county)                               	1476 394 037     	514-11-8134            
32      	John Austin                    	11203 Brooklyn (Kings county)                                  	2892 108 687     	180-71-0707            
33      	John Austin                    	30096 Duluth (Gwinnett county)                                 	6322 271 931     	084-72-2913            
34      	John Austin                    	75035 Frisco (Collin county)                                   	6953 128 806     	423-85-8840            
35      	John Austin                    	75067 Lewisville (Denton county)                               	2428 550 537     	111-26-2765            
36      	John Austin                    	92507 Riverside (Riverside county)                             	9243 749 549     	236-89-1878            
37      	John Avila                     	10023 New York City (New York county)                          	1330 107 790     	471-13-8388            
38      	John Ayala                     	78521 Brownsville (Cameron county)                             	3790 147 823     	204-52-9430            
39      	John Bailey                    	78254 San Antonio (Bexar county)                               	8089 419 775     	650-39-3057            
40      	John Baker                     	11706 Bay Shore (Suffolk county)                               	2531 018 807     	303-49-9976            
41      	John Baker                     	30101 Acworth (Cobb county)                                    	3760 619 568     	064-87-0229            
42      	John Baker                     	77459 Missouri City (Fort Bend county)                         	7976 698 586     	794-12-9499            
43      	John Baker                     	96797 Waipahu (Honolulu county)                                	3372 853 045     	557-72-8000            
44      	John Baldwin                   	11434 Jamaica (Queens county)                                  	3853 367 767     	704-74-5594            
45      	John Ball                      	93905 Salinas (Monterey county)                                	5202 571 001     	528-26-6620            
46      	John Ballard                   	94080 South San Francisco (San Mateo county)                   	9887 045 334     	903-24-3466            
47      	John Barajas                   	10456 Bronx (Bronx county)                                     	2102 040 500     	134-38-6445            
48      	John Barajas                   	21740 Hagerstown (Washington county)                           	2461 715 584     	072-41-7514            
49      	John Barnes                    	90066 Los Angeles (Los Angeles county)                         	7677 538 521     	698-44-6722            
50      	John Barnes                    	94509 Antioch (Contra Costa county)                            	8685 134 889     	851-27-0276            
51      	John Barnett                   	60629 Chicago (Cook county)                                    	8658 189 763     	709-82-0503            
52      	John Barrett                   	60638 Chicago (Cook county)                                    	6715 695 178     	524-32-1730            
53      	John Barron                    	90026 Los Angeles (Los Angeles county)                         	4354 747 868     	925-95-4261            
54      	John Barry                     	33024 Hollywood (Broward county)                               	7984 721 521     	999-69-8360            
55      	John Bartlett                  	30044 Lawrenceville (Gwinnett county)                          	6609 899 238     	585-11-1265            
56      	John Bartlett                  	78240 San Antonio (Bexar county)                               	2585 257 500     	303-04-1241            
57      	John Barton                    	92335 Fontana (San Bernardino county)                          	3886 591 600     	669-40-7758            
58      	John Bates                     	10029 New York City (New York county)                          	2382 249 162     	883-92-5603            
59      	John Bates                     	91343 North Hills (Los Angeles county)                         	1463 445 480     	291-99-5282            
60      	John Bauer                     	43230 Columbus (Franklin county)                               	2160 761 969     	746-45-8529            
61      	John Bauer                     	89121 Las Vegas (Clark county)                                 	8110 086 708     	354-31-7007            
62      	John Bautista                  	60016 Des Plaines (Cook county)                                	3731 404 239     	951-49-4077            
63      	John Bautista                  	77449 Katy (Harris county)                                     	9855 411 696     	811-04-2804            
64      	John Bautista                  	89031 North Las Vegas (Clark county)                           	6241 422 226     	867-09-2440            
65      	John Beasley                   	78250 San Antonio (Bexar county)                               	9816 726 038     	244-69-7407            
66      	John Bell                      	10701 Yonkers (Westchester county)                             	8118 021 424     	595-56-8251            
67      	John Bell                      	20002 Washington (District Of Columbia county)                 	3540 600 831     	388-67-5857            
68      	John Bell                      	23464 Virginia Beach (Virginia Beach City county)              	2475 708 793     	735-78-0161            
69      	John Bell                      	78245 San Antonio (Bexar county)                               	9527 760 142     	969-38-1985            
70      	John Beltran                   	85008 Phoenix (Maricopa county)                                	4966 414 248     	908-36-1223            
71      	John Beltran                   	90250 Hawthorne (Los Angeles county)                           	2594 197 506     	496-78-9434            
